"Name";"VMHost";"PowerState";"Vmtools"
"CI00042069-SV-ARG-CRL-F1";"sharbehaesx135.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00006998-SV-ARG-AFP-P1";"sharbehaesx051.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI79963-SV-ARG-ACCON-P1";"sharbehaesx049.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI78734-NEXTHINK-PORTAL";"sharbehaesx013.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI78733-NEXTHINK-ENGINE";"sharbehaesx013.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00063045-SV-ARG-JFRNT-P49";"sharbehaesx148.cegekavirtual.local";"PoweredOn";"guestToolsNotRunning"
"CI00062971-SV-ARG-JFRNT-P48";"sharbehaesx145.cegekavirtual.local";"PoweredOn";"guestToolsNotRunning"
"CI00044067-SV-ARG-EFSW-F1";"sharbehaesx094.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00064271-NEXPOSE";"sharbehaesx148.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI79770-SV-ARG-ALN-P1";"sharbehaesx108.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00043134-SV-ARG-EVRST-I1";"sharbehaesx038.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00066986-SV-ARG-JMPH-I1";"sharbehaesx099.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00009265-SV-ARG-JNKSL-I1";"sharbehaesx130.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI64925-SV-ARG-MAPTK-I1";"sharbehaesx025.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI73711-SV-ARG-RPRT-I1";"sharbehaesx133.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00062933-SV-ARG-SNGW-I1";"sharbehaesx096.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI78442-SV-ARG-STEPS-I1";"sharbehaesx166.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI64914-SV-ARG-TMAN-I1";"sharbehaesx018.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI08090-SV-ARG-TOOL-I1";"sharbehaesx134.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00081579-SV-ARG-JENSL-I1";"sharbehaesx172.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI89336-SV-ARG-TOOL-I3";"sharbehaesx129.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00006297-SV-ARG-ASPSW-P1";"sharbehaesx051.cegekavirtual.local";"PoweredOff";"guestToolsNotRunning"
"HI71450-SV-ARG-CERT-P1";"sharbehaesx045.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI90727-SV-ARG-FISRV-P2";"sharbehaesx106.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI90726-SV-ARG-FISRV-P1";"sharbehaesx101.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI99400-SV-ARG-EVOLV-P1";"sharbehaesx048.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00034800-SV-ARG-EVDAC-P1";"sharbehaesx056.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00034808-SV-ARG-EVARC-P2";"sharbehaesx050.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00032705-SV-ARG-EVARC-P1";"sharbehaesx131.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI65602-SV-ARG-EHE-P1";"sharbehaesx105.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00003005-SV-ARG-DOBIT-P1";"sharbehaesx053.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00065374-SV-ARG-CBS-P1";"sharbehaesx144.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI97128-SV-ARG-DEPS-P1";"sharbehaesx085.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI97127-SV-ARG-DEPM-P1";"sharbehaesx087.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI89732-SV-ARG-CRYST-P2";"sharbehaesx107.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00010602-SV-ARG-COLD-P2";"sharbehaesx056.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00094404-SV-ARG-CKP-P3";"sharbehaesx080.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00007367-SV-ARG-CKP-P2";"sharbehaesx085.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00080656-SV-ARG-CGNOS-P2";"sharbehaesx105.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI82323-SV-ARG-CGNOS-P1";"sharbehaesx127.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI71451-SV-ARG-CERT-P2";"sharbehaesx045.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI97126-SV-ARG-DEPP-P1";"sharbehaesx083.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI89482-SV-ARG-TOOL-I4";"sharbehaesx172.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00036905-SV-ARG-UMTES-I11";"sharbehaesx146.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00077938-VCAN36";"sharbehaesx114.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00066976-SVARGPMASTER02";"sharbehaesx120.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00066975-SVARGPMASTER01";"sharbehaesx005.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00066974-SVARGPINSTALL01";"sharbehaesx007.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00066979-SVARGPINFRA02";"sharbehaesx113.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00066978-SVARGPINFRA01";"sharbehaesx001.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
