"Name";"VMHost";"PowerState";"Vmtools"
"HI78725-DWI01501";"argebehaesx002.argvirtual.local";"PoweredOn";"guestToolsRunning"
"HI78726-LW000500";"argebehaesx001.argvirtual.local";"PoweredOn";"guestToolsNotRunning"
"HI78727-LW001500";"argebehaesx002.argvirtual.local";"PoweredOn";"guestToolsNotRunning"
"HI78721-DWI00500";"argebehaesx001.argvirtual.local";"PoweredOn";"guestToolsNotRunning"
"HI78723-DWI01000";"argebehaesx002.argvirtual.local";"PoweredOn";"guestToolsRunning"
"HI78724-DWI01500";"argebehaesx001.argvirtual.local";"PoweredOn";"guestToolsNotRunning"
"CI00069865-SV-ARG-WEBDR-D3";"argebehaesx002.argvirtual.local";"PoweredOn";"guestToolsNotRunning"
"CI00069876-SV-ARG-WEBDR-D7";"argebehaesx001.argvirtual.local";"PoweredOn";"guestToolsNotRunning"
"CI00057955-SV-ARG-CLOUD-I2";"argebehaesx001.argvirtual.local";"PoweredOn";"guestToolsNotRunning"
"HI78780-SWARG188";"argebehaesx001.argvirtual.local";"PoweredOn";"guestToolsRunning"
"CI00069866-SV-ARG-WEBDR-D4";"argebehaesx002.argvirtual.local";"PoweredOn";"guestToolsNotRunning"
"CI00069874-SV-ARG-WEBDR-D5";"argebehaesx001.argvirtual.local";"PoweredOn";"guestToolsNotRunning"
"CI00069875-SV-ARG-WEBDR-D6";"argebehaesx002.argvirtual.local";"PoweredOn";"guestToolsNotRunning"
